symbol,code,OptionType,expirydate,date,close,change,bid,ask,volume,openinterest,strike,spotclose,close2
SPX,SPX1717K1000,call,20171117,20171101,1572.93,0.0,1571.9,1576.9,0,15037,1000.0,2579.36,1572.93
SPX,SPX1717K1100,call,20171117,20171101,1458.0,0.0,1472.0,1477.0,0,6,1100.0,2579.36,1458.0
SPX,SPX1717K1200,call,20171117,20171101,0.0,0.0,1372.1,1377.0,0,0,1200.0,2579.36,1374.55
SPX,SPX1717K1250,call,20171117,20171101,1176.0,0.0,1322.1,1327.1,0,2,1250.0,2579.36,1176.0
SPX,SPX1717K1275,call,20171117,20171101,1151.1,0.0,1297.2,1302.1,0,2,1275.0,2579.36,1151.1
SPX,SPX1717K1300,call,20171117,20171101,1169.9,0.0,1272.2,1277.1,0,0,1300.0,2579.36,1169.9
SPX,SPX1717K1350,call,20171117,20171101,1184.85,0.0,1222.2,1227.1,0,0,1350.0,2579.36,1184.85
SPX,SPX1717K1400,call,20171117,20171101,0.0,0.0,1172.3,1177.2,0,0,1400.0,2579.36,1174.75
SPX,SPX1717K1425,call,20171117,20171101,0.0,0.0,1147.3,1152.2,0,0,1425.0,2579.36,1149.75
SPX,SPX1717K1450,call,20171117,20171101,0.0,0.0,1122.3,1127.2,0,0,1450.0,2579.36,1124.75
SPX,SPX1717K1475,call,20171117,20171101,0.0,0.0,1097.3,1102.2,0,0,1475.0,2579.36,1099.75
SPX,SPX1717K1500,call,20171117,20171101,970.95,0.0,1072.4,1077.2,0,0,1500.0,2579.36,970.95
SPX,SPX1717K1525,call,20171117,20171101,0.0,0.0,1047.4,1052.2,0,0,1525.0,2579.36,1049.8
SPX,SPX1717K1550,call,20171117,20171101,0.0,0.0,1022.4,1027.3,0,0,1550.0,2579.36,1024.85
SPX,SPX1717K1575,call,20171117,20171101,0.0,0.0,997.4,1002.3,0,0,1575.0,2579.36,999.85
SPX,SPX1717K1600,call,20171117,20171101,0.0,0.0,972.4,977.3,0,0,1600.0,2579.36,974.85
SPX,SPX1717K1625,call,20171117,20171101,0.0,0.0,947.5,952.3,0,0,1625.0,2579.36,949.9
SPX,SPX1717K1650,call,20171117,20171101,0.0,0.0,922.5,927.3,0,0,1650.0,2579.36,924.9
SPX,SPX1717K1675,call,20171117,20171101,0.0,0.0,897.5,902.4,0,0,1675.0,2579.36,899.95
SPX,SPX1717K1700,call,20171117,20171101,0.0,0.0,872.5,877.4,0,0,1700.0,2579.36,874.95
SPX,SPX1717K1710,call,20171117,20171101,0.0,0.0,862.5,867.4,0,0,1710.0,2579.36,864.95
SPX,SPX1717K1720,call,20171117,20171101,0.0,0.0,852.5,857.4,0,0,1720.0,2579.36,854.95
SPX,SPX1717K1725,call,20171117,20171101,0.0,0.0,847.6,852.4,0,0,1725.0,2579.36,850.0
SPX,SPX1717K1730,call,20171117,20171101,0.0,0.0,842.6,847.4,0,0,1730.0,2579.36,845.0
SPX,SPX1717K1740,call,20171117,20171101,0.0,0.0,832.6,837.4,0,0,1740.0,2579.36,835.0
SPX,SPX1717K1750,call,20171117,20171101,0.0,0.0,822.6,827.4,0,0,1750.0,2579.36,825.0
SPX,SPX1717K1760,call,20171117,20171101,0.0,0.0,812.6,817.4,0,0,1760.0,2579.36,815.0
SPX,SPX1717K1770,call,20171117,20171101,0.0,0.0,802.6,807.4,0,0,1770.0,2579.36,805.0
SPX,SPX1717K1775,call,20171117,20171101,0.0,0.0,797.6,802.4,0,0,1775.0,2579.36,800.0
SPX,SPX1717K1780,call,20171117,20171101,0.0,0.0,792.6,797.4,0,0,1780.0,2579.36,795.0
SPX,SPX1717K1790,call,20171117,20171101,0.0,0.0,782.6,787.5,0,0,1790.0,2579.36,785.05
SPX,SPX1717K1800,call,20171117,20171101,745.97,0.0,772.6,777.5,0,9,1800.0,2579.36,745.97
SPX,SPX1717K1810,call,20171117,20171101,0.0,0.0,762.6,767.5,0,0,1810.0,2579.36,765.05
SPX,SPX1717K1820,call,20171117,20171101,0.0,0.0,752.6,757.5,0,0,1820.0,2579.36,755.05
SPX,SPX1717K1825,call,20171117,20171101,0.0,0.0,747.6,752.5,0,0,1825.0,2579.36,750.05
SPX,SPX1717K1830,call,20171117,20171101,0.0,0.0,742.6,747.5,0,0,1830.0,2579.36,745.05
SPX,SPX1717K1840,call,20171117,20171101,0.0,0.0,732.7,737.5,0,0,1840.0,2579.36,735.1
SPX,SPX1717K1850,call,20171117,20171101,0.0,0.0,722.7,727.5,0,0,1850.0,2579.36,725.1
SPX,SPX1717K1860,call,20171117,20171101,0.0,0.0,712.7,717.5,0,0,1860.0,2579.36,715.1
SPX,SPX1717K1870,call,20171117,20171101,0.0,0.0,702.7,707.5,0,0,1870.0,2579.36,705.1
SPX,SPX1717K1875,call,20171117,20171101,702.0,84.0,697.7,702.5,1,1,1875.0,2579.36,702.0
SPX,SPX1717K1880,call,20171117,20171101,0.0,0.0,692.7,697.5,0,0,1880.0,2579.36,695.1
SPX,SPX1717K1890,call,20171117,20171101,0.0,0.0,682.7,687.5,0,0,1890.0,2579.36,685.1
SPX,SPX1717K1900,call,20171117,20171101,650.85,0.0,672.7,677.5,0,18,1900.0,2579.36,650.85
SPX,SPX1717K1910,call,20171117,20171101,0.0,0.0,662.7,667.6,0,0,1910.0,2579.36,665.15
SPX,SPX1717K1920,call,20171117,20171101,0.0,0.0,652.7,657.6,0,0,1920.0,2579.36,655.15
SPX,SPX1717K1925,call,20171117,20171101,0.0,0.0,647.7,652.6,0,0,1925.0,2579.36,650.15
SPX,SPX1717K1930,call,20171117,20171101,0.0,0.0,642.7,647.6,0,0,1930.0,2579.36,645.15
SPX,SPX1717K1940,call,20171117,20171101,0.0,0.0,632.7,637.6,0,0,1940.0,2579.36,635.15
SPX,SPX1717K1950,call,20171117,20171101,0.0,0.0,622.7,627.6,0,0,1950.0,2579.36,625.15
SPX,SPX1717K1960,call,20171117,20171101,0.0,0.0,612.8,617.6,0,0,1960.0,2579.36,615.2
SPX,SPX1717K1970,call,20171117,20171101,0.0,0.0,602.8,607.6,0,0,1970.0,2579.36,605.2
SPX,SPX1717K1975,call,20171117,20171101,581.8,0.0,597.8,602.6,0,8,1975.0,2579.36,581.8
SPX,SPX1717K1980,call,20171117,20171101,0.0,0.0,592.8,597.6,0,0,1980.0,2579.36,595.2
SPX,SPX1717K1985,call,20171117,20171101,553.45,0.0,587.8,592.6,0,1,1985.0,2579.36,553.45
SPX,SPX1717K1990,call,20171117,20171101,0.0,0.0,582.8,587.6,0,0,1990.0,2579.36,585.2
SPX,SPX1717K1995,call,20171117,20171101,0.0,0.0,577.8,582.6,0,0,1995.0,2579.36,580.2
SPX,SPX1717K2000,call,20171117,20171101,575.0,0.0,572.8,577.6,0,14911,2000.0,2579.36,575.0
SPX,SPX1717K2005,call,20171117,20171101,0.0,0.0,567.8,572.7,0,0,2005.0,2579.36,570.25
SPX,SPX1717K2010,call,20171117,20171101,0.0,0.0,562.8,567.7,0,0,2010.0,2579.36,565.25
SPX,SPX1717K2015,call,20171117,20171101,0.0,0.0,557.8,562.7,0,0,2015.0,2579.36,560.25
SPX,SPX1717K2020,call,20171117,20171101,0.0,0.0,552.8,557.7,0,0,2020.0,2579.36,555.25
SPX,SPX1717K2025,call,20171117,20171101,534.85,0.0,547.8,552.7,0,17,2025.0,2579.36,534.85
SPX,SPX1717K2030,call,20171117,20171101,0.0,0.0,542.8,547.7,0,0,2030.0,2579.36,545.25
SPX,SPX1717K2035,call,20171117,20171101,0.0,0.0,537.8,542.7,0,0,2035.0,2579.36,540.25
SPX,SPX1717K2040,call,20171117,20171101,0.0,0.0,532.8,537.7,0,0,2040.0,2579.36,535.25
