DATE,USD3MTD156N
4/7/2015,0.27375
4/8/2015,0.2712
4/9/2015,0.2759
4/10/2015,0.277
4/13/2015,0.2753
4/14/2015,0.27555
4/15/2015,0.27435
4/16/2015,0.2751
4/17/2015,0.27575
4/20/2015,0.276
4/21/2015,0.27725
4/22/2015,0.2775
4/23/2015,0.277
4/24/2015,0.279
4/27/2015,0.279
4/28/2015,0.27815
4/29/2015,0.27815
4/30/2015,0.27875
5/1/2015,0.27975
5/4/2015,.
5/5/2015,0.2759
5/6/2015,0.276
5/7/2015,0.27885
5/8/2015,0.27985
5/11/2015,0.2766
5/12/2015,0.275
5/13/2015,0.2739
5/14/2015,0.276
5/15/2015,0.2765
5/18/2015,0.276
5/19/2015,0.281
5/20/2015,0.2835
5/21/2015,0.282
5/22/2015,0.2845
5/25/2015,.
5/26/2015,0.28585
5/27/2015,0.2835
5/28/2015,0.28275
5/29/2015,0.28375
6/1/2015,0.2825
6/2/2015,0.2787
6/3/2015,0.2792
6/4/2015,0.2789
6/5/2015,0.2812
6/8/2015,0.2822
6/9/2015,0.2855
6/10/2015,0.28785
6/11/2015,0.28585
6/12/2015,0.28605
6/15/2015,0.28325
6/16/2015,0.28625
6/17/2015,0.2857
6/18/2015,0.2808
6/19/2015,0.2813
6/22/2015,0.28225
6/23/2015,0.28075
6/24/2015,0.28075
6/25/2015,0.282
6/26/2015,0.28175
6/29/2015,0.2837
6/30/2015,0.2832
7/1/2015,0.2836
7/2/2015,0.2835
7/3/2015,0.2843
7/6/2015,0.28425
7/7/2015,0.28325
7/8/2015,0.28345
7/9/2015,0.286
7/10/2015,0.2858
7/13/2015,0.2888
7/14/2015,0.2885
7/15/2015,0.2885
7/16/2015,0.287
7/17/2015,0.29175
7/20/2015,0.295
7/21/2015,0.2941
7/22/2015,0.2925
7/23/2015,0.2951
7/24/2015,0.2936
7/27/2015,0.2941
7/28/2015,0.2968
7/29/2015,0.2968
7/30/2015,0.3001
7/31/2015,0.3086
8/3/2015,0.3037
8/4/2015,0.3011
8/5/2015,0.3109
8/6/2015,0.3114
8/7/2015,0.3116
8/10/2015,0.3142
8/11/2015,0.31435
8/12/2015,0.3093
8/13/2015,0.3205
8/14/2015,0.32445
8/17/2015,0.33285
8/18/2015,0.33285
8/19/2015,0.33335
8/20/2015,0.3291
8/21/2015,0.3291
8/24/2015,0.3316
8/25/2015,0.327
8/26/2015,0.3252
8/27/2015,0.3244
8/28/2015,0.329
8/31/2015,.
9/1/2015,0.334
9/2/2015,0.3325
9/3/2015,0.3335
9/4/2015,0.332
9/7/2015,0.333
9/8/2015,0.332
9/9/2015,0.333
9/10/2015,0.336
9/11/2015,0.3372
9/14/2015,0.3355
9/15/2015,0.33425
9/16/2015,0.3396
9/17/2015,0.3451
9/18/2015,0.3192
9/21/2015,0.326
9/22/2015,0.3265
9/23/2015,0.3255
9/24/2015,0.3264
9/25/2015,0.3261
9/28/2015,0.3266
9/29/2015,0.3255
9/30/2015,0.325
10/1/2015,0.324
10/2/2015,0.3271
10/5/2015,0.3232
10/6/2015,0.318
10/7/2015,0.3186
10/8/2015,0.3196
10/9/2015,0.3206
10/12/2015,0.32075
10/13/2015,0.3205
10/14/2015,0.31705
10/15/2015,0.31515
10/16/2015,0.31715
10/19/2015,0.31665
10/20/2015,0.3204
10/21/2015,0.3164
